SoPID,SoPText,StandardID,StandardText,DomainID,DomainText,CriterionNodeLabel,StandardNodeLabel,DomainNodeLabel
3.2,"Demonstrate a high level of professionalism in personal performance, including confidentiality, ethical standards and financial probity",Standard 3,Ensure professionalism in areas of governance and service accreditation,Domain 1,Professional Practice,"3.2: Demonstrate a high level of professionalism in personal performance, including confidentiality, ethical standards and financial probity",Standard 3: Ensure professionalism in areas of governance and service accreditation,Domain 1: Professional Practice
3.3,Ensure effective clinical governance of scientific services and personal practice according to their organisation’s clinical governance policies,Standard 3,Ensure professionalism in areas of governance and service accreditation,Domain 1,Professional Practice,3.3: Ensure effective clinical governance of scientific services and personal practice according to their organisation’s clinical governance policies,Standard 3: Ensure professionalism in areas of governance and service accreditation,Domain 1: Professional Practice
3.4,Ensure the service meets service accreditation standards,Standard 3,Ensure professionalism in areas of governance and service accreditation,Domain 1,Professional Practice,3.4: Ensure the service meets service accreditation standards,Standard 3: Ensure professionalism in areas of governance and service accreditation,Domain 1: Professional Practice
3.5,Ensure the formal reporting and recording of any adverse incidents is in line with organisational policy,Standard 3,Ensure professionalism in areas of governance and service accreditation,Domain 1,Professional Practice,3.5: Ensure the formal reporting and recording of any adverse incidents is in line with organisational policy,Standard 3: Ensure professionalism in areas of governance and service accreditation,Domain 1: Professional Practice
3.6,Ensure adverse events and complaints are investigated so that lessons learnt are shared appropriately and that systems are put in place to minimise the risk of recurrence,Standard 3,Ensure professionalism in areas of governance and service accreditation,Domain 1,Professional Practice,3.6: Ensure adverse events and complaints are investigated so that lessons learnt are shared appropriately and that systems are put in place to minimise the risk of recurrence,Standard 3: Ensure professionalism in areas of governance and service accreditation,Domain 1: Professional Practice
4.1,Develop a strategic approach to the provision of appropriate training programmes for the breadth of the scientific workforce and contribute to training other groups of staff within healthcare,Standard 4,Direct the education and training of others,Domain 1,Professional Practice,4.1: Develop a strategic approach to the provision of appropriate training programmes for the breadth of the scientific workforce and contribute to training other groups of staff within healthcare,Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.2,Advise on national training requirements and curriculum for the breadth of training in the scientific workforce,Standard 4,Direct the education and training of others,Domain 1,Professional Practice,4.2: Advise on national training requirements and curriculum for the breadth of training in the scientific workforce,Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.3,"Evaluate and make arrangements for the teaching and training requirements of scientific staff, professional colleagues and users of the service",Standard 4,Direct the education and training of others,Domain 1,Professional Practice,"4.3: Evaluate and make arrangements for the teaching and training requirements of scientific staff, professional colleagues and users of the service",Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.4,"Provide scientific staff with appropriate professional and personal development opportunities through robust appraisal processes, with access to appropriate training for their jobs and the line management support needed to succeed",Standard 4,Direct the education and training of others,Domain 1,Professional Practice,"4.4: Provide scientific staff with appropriate professional and personal development opportunities through robust appraisal processes, with access to appropriate training for their jobs and the line management support needed to succeed",Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.5,"Participate in clinical scientific and technical teaching, training and assessment of peers, undergraduates, post-graduates and other healthcare professionals within relevant scientific areas of practice using effective methods of learner centred feedback",Standard 4,Direct the education and training of others,Domain 1,Professional Practice,"4.5: Participate in clinical scientific and technical teaching, training and assessment of peers, undergraduates, post-graduates and other healthcare professionals within relevant scientific areas of practice using effective methods of learner centred feedback",Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.6,Develop and introduce teaching programmes in own area of specialist practice and continually evaluate and improve teaching and assessment activities using critical reflection,Standard 4,Direct the education and training of others,Domain 1,Professional Practice,4.6: Develop and introduce teaching programmes in own area of specialist practice and continually evaluate and improve teaching and assessment activities using critical reflection,Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.7,"Demonstrate personal training, skills and qualifications where relevant to provide high quality teaching, training, assessment and feedback",Standard 4,Direct the education and training of others,Domain 1,Professional Practice,"4.7: Demonstrate personal training, skills and qualifications where relevant to provide high quality teaching, training, assessment and feedback",Standard 4: Direct the education and training of others,Domain 1: Professional Practice
4.8,Evaluate the quality of teaching and training provided and make recommendations for improvement,Standard 4,Direct the education and training of others,Domain 1,Professional Practice,4.8: Evaluate the quality of teaching and training provided and make recommendations for improvement,Standard 4: Direct the education and training of others,Domain 1: Professional Practice
5.1,"Assess the demand and specification for evolving scientific services with users, clinical colleagues and other relevant stakeholders",Standard 5,Lead scientific services,Domain 2,Scientific Practice,"5.1: Assess the demand and specification for evolving scientific services with users, clinical colleagues and other relevant stakeholders",Standard 5: Lead scientific services,Domain 2: Scientific Practice
5.2,Evaluate the scientific literature and other scientific sources and work with others to develop scientific and business cases for service improvement,Standard 5,Lead scientific services,Domain 2,Scientific Practice,5.2: Evaluate the scientific literature and other scientific sources and work with others to develop scientific and business cases for service improvement,Standard 5: Lead scientific services,Domain 2: Scientific Practice
5.3,Lead a clinical scientific department offering a broad range of services and creating a culture of continuous improvement and innovation,Standard 5,Lead scientific services,Domain 2,Scientific Practice,5.3: Lead a clinical scientific department offering a broad range of services and creating a culture of continuous improvement and innovation,Standard 5: Lead scientific services,Domain 2: Scientific Practice
5.4,Provide a high level of scientific expertise to complex problems in own area of specialist practice,Standard 5,Lead scientific services,Domain 2,Scientific Practice,5.4: Provide a high level of scientific expertise to complex problems in own area of specialist practice,Standard 5: Lead scientific services,Domain 2: Scientific Practice
5.5,"Ensure that clinical scientific services are delivered with a commitment to excellent quality, safety, confidentiality, accountability, reliability, communication and professional and managerial integrity",Standard 5,Lead scientific services,Domain 2,Scientific Practice,"5.5: Ensure that clinical scientific services are delivered with a commitment to excellent quality, safety, confidentiality, accountability, reliability, communication and professional and managerial integrity",Standard 5: Lead scientific services,Domain 2: Scientific Practice
6.1,Ensure the clinical scientific validation of analytical results so that complex investigations are accurately and critically evaluated,Standard 6,Direct scientific validation and evaluation,Domain 2,Scientific Practice,6.1: Ensure the clinical scientific validation of analytical results so that complex investigations are accurately and critically evaluated,Standard 6: Direct scientific validation and evaluation,Domain 2: Scientific Practice
6.2,"Provide consultant level clinical scientific advice, including interpretation of investigations and their outcomes, therapies and their implications for patient care and management, and recommendations for additional or more complex investigations",Standard 6,Direct scientific validation and evaluation,Domain 2,Scientific Practice,"6.2: Provide consultant level clinical scientific advice, including interpretation of investigations and their outcomes, therapies and their implications for patient care and management, and recommendations for additional or more complex investigations",Standard 6: Direct scientific validation and evaluation,Domain 2: Scientific Practice
6.3,Provide scientific advice on legislative compliance in own specialist area of practice,Standard 6,Direct scientific validation and evaluation,Domain 2,Scientific Practice,6.3: Provide scientific advice on legislative compliance in own specialist area of practice,Standard 6: Direct scientific validation and evaluation,Domain 2: Scientific Practice
6.4,"Bring critical analysis to the practice of the clinical scientific specialism, ensuring that regular review of research and evidence is undertaken so that adaptation to practice can be made in a timely and cost effective manner",Standard 6,Direct scientific validation and evaluation,Domain 2,Scientific Practice,"6.4: Bring critical analysis to the practice of the clinical scientific specialism, ensuring that regular review of research and evidence is undertaken so that adaptation to practice can be made in a timely and cost effective manner",Standard 6: Direct scientific validation and evaluation,Domain 2: Scientific Practice
7.1,Ensure delivery of the highest standards of health and safety in the working environment,Standard 7,Assure safety in the scientific setting,Domain 2,Scientific Practice,7.1: Ensure delivery of the highest standards of health and safety in the working environment,Standard 7: Assure safety in the scientific setting,Domain 2: Scientific Practice
7.2,"Introduce and critically evaluate measures to identify, actively manage and mitigate risk to patients",Standard 7,Assure safety in the scientific setting,Domain 2,Scientific Practice,"7.2: Introduce and critically evaluate measures to identify, actively manage and mitigate risk to patients",Standard 7: Assure safety in the scientific setting,Domain 2: Scientific Practice
7.3,"Ensure services are delivered in clean and safe environments that are fit for purpose, based on national best practice",Standard 7,Assure safety in the scientific setting,Domain 2,Scientific Practice,"7.3: Ensure services are delivered in clean and safe environments that are fit for purpose, based on national best practice",Standard 7: Assure safety in the scientific setting,Domain 2: Scientific Practice
8.1,"Ensure the provision of highly developed and advanced clinical scientific expertise, advice and interpretation to the multi-professional clinical team and to patients, undertaking scientific responsibilities at a level of accountability similar to that of consultant doctors",Standard 8,Ensure clinical relevance of scientific services provided,Domain 3,Clinical Practice,"8.1: Ensure the provision of highly developed and advanced clinical scientific expertise, advice and interpretation to the multi-professional clinical team and to patients, undertaking scientific responsibilities at a level of accountability similar to that of consultant doctors",Standard 8: Ensure clinical relevance of scientific services provided,Domain 3: Clinical Practice
8.2,"Lead high quality patient focused clinical scientific services that promote excellent patient outcomes, support patient involvement and engagement and continually seek to improve the safety and quality of NHS clinical scientific services",Standard 8,Ensure clinical relevance of scientific services provided,Domain 3,Clinical Practice,"8.2: Lead high quality patient focused clinical scientific services that promote excellent patient outcomes, support patient involvement and engagement and continually seek to improve the safety and quality of NHS clinical scientific services",Standard 8: Ensure clinical relevance of scientific services provided,Domain 3: Clinical Practice
8.3,"Collaborate with colleagues across organisational boundaries to develop, promote and participate in a multi-professional approach to high quality patient care and management",Standard 8,Ensure clinical relevance of scientific services provided,Domain 3,Clinical Practice,"8.3: Collaborate with colleagues across organisational boundaries to develop, promote and participate in a multi-professional approach to high quality patient care and management",Standard 8: Ensure clinical relevance of scientific services provided,Domain 3: Clinical Practice
9.1,"Play a direct role in the management of complex patients, as part of a multi-professional team, including assessment of the patient’s relevant history, developing an investigation strategy, interpreting results and agreeing a management and treatment plan in partnership with the patient, carers, medical staff and the rest of the multi-professional team",Standard 9,Deliver effective clinical services,Domain 3,Clinical Practice,"9.1: Play a direct role in the management of complex patients, as part of a multi-professional team, including assessment of the patient’s relevant history, developing an investigation strategy, interpreting results and agreeing a management and treatment plan in partnership with the patient, carers, medical staff and the rest of the multi-professional team",Standard 9: Deliver effective clinical services,Domain 3: Clinical Practice
9.2,"In appropriate circumstances and within the context of particular and defined clinical circumstances, impart scientific results to and discuss with patients or their families, investigations, risks and outcomes that may be highly sensitive, emotive or have serious prognostic implications, recognising that the responsibility for the overall care of the patient rests with the accountable medical consultant or general practitioner",Standard 9,Deliver effective clinical services,Domain 3,Clinical Practice,"9.2: In appropriate circumstances and within the context of particular and defined clinical circumstances, impart scientific results to and discuss with patients or their families, investigations, risks and outcomes that may be highly sensitive, emotive or have serious prognostic implications, recognising that the responsibility for the overall care of the patient rests with the accountable medical consultant or general practitioner",Standard 9: Deliver effective clinical services,Domain 3: Clinical Practice
9.3,Respond positively to and promote new developments that enable patients to have improved and safer access to information about their care,Standard 9,Deliver effective clinical services,Domain 3,Clinical Practice,9.3: Respond positively to and promote new developments that enable patients to have improved and safer access to information about their care,Standard 9: Deliver effective clinical services,Domain 3: Clinical Practice
10.1,Contribute at the highest level to the strategic development and direction of the organisation so that the added value of clinical science services and their impact on patient care is fully realised,Standard 10,"Lead research, development and innovation in clinical priority areas",Domain 4,"Research, Development and Innovation",10.1: Contribute at the highest level to the strategic development and direction of the organisation so that the added value of clinical science services and their impact on patient care is fully realised,"Standard 10: Lead research, development and innovation in clinical priority areas","Domain 4: Research, Development and Innovation"
10.2,"Lead and shape the application of advances in science, technology, research, innovation, especially in the area of genomics and personalised or precision medicine, and education to support continuous improvement of patient outcomes",Standard 10,"Lead research, development and innovation in clinical priority areas",Domain 4,"Research, Development and Innovation","10.2: Lead and shape the application of advances in science, technology, research, innovation, especially in the area of genomics and personalised or precision medicine, and education to support continuous improvement of patient outcomes","Standard 10: Lead research, development and innovation in clinical priority areas","Domain 4: Research, Development and Innovation"
10.3,"Through the initiation and translation of cutting edge scientific research and education, bring strategic direction, innovation and continuous improvement into practice",Standard 10,"Lead research, development and innovation in clinical priority areas",Domain 4,"Research, Development and Innovation","10.3: Through the initiation and translation of cutting edge scientific research and education, bring strategic direction, innovation and continuous improvement into practice","Standard 10: Lead research, development and innovation in clinical priority areas","Domain 4: Research, Development and Innovation"
10.4,Promote safe and high quality care by ensuring that research and evidence based practice is at the vanguard of clinical scientific services,Standard 10,"Lead research, development and innovation in clinical priority areas",Domain 4,"Research, Development and Innovation",10.4: Promote safe and high quality care by ensuring that research and evidence based practice is at the vanguard of clinical scientific services,"Standard 10: Lead research, development and innovation in clinical priority areas","Domain 4: Research, Development and Innovation"
11.1,Develop and apply a strategy to optimise the impact of clinical audit to deliver outcome focused quality improvement programmes,Standard 11,"Evaluate research, development and innovation outcomes to improve scientific service provision",Domain 4,"Research, Development and Innovation",11.1: Develop and apply a strategy to optimise the impact of clinical audit to deliver outcome focused quality improvement programmes,"Standard 11: Evaluate research, development and innovation outcomes to improve scientific service provision","Domain 4: Research, Development and Innovation"
11.2,"Continually improve the quality of clinical scientific services by directing and planning the introduction, evaluation and application of improved scientific and operational procedures",Standard 11,"Evaluate research, development and innovation outcomes to improve scientific service provision",Domain 4,"Research, Development and Innovation","11.2: Continually improve the quality of clinical scientific services by directing and planning the introduction, evaluation and application of improved scientific and operational procedures","Standard 11: Evaluate research, development and innovation outcomes to improve scientific service provision","Domain 4: Research, Development and Innovation"
11.3,Evaluate published research and innovation for patient benefit and make recommendations for improvements in the quality of services and patient outcomes based on these,Standard 11,"Evaluate research, development and innovation outcomes to improve scientific service provision",Domain 4,"Research, Development and Innovation",11.3: Evaluate published research and innovation for patient benefit and make recommendations for improvements in the quality of services and patient outcomes based on these,"Standard 11: Evaluate research, development and innovation outcomes to improve scientific service provision","Domain 4: Research, Development and Innovation"
12.1,Generate a culture that values and supports innovation and quality by promoting and stimulating research and innovation both within the service and across service boundaries,Standard 12,Promote a culture of innovation,Domain 4,"Research, Development and Innovation",12.1: Generate a culture that values and supports innovation and quality by promoting and stimulating research and innovation both within the service and across service boundaries,Standard 12: Promote a culture of innovation,"Domain 4: Research, Development and Innovation"
12.2,"Initiate and direct research and innovation programmes to completion, evaluate outcomes and amend service provision as appropriate",Standard 12,Promote a culture of innovation,Domain 4,"Research, Development and Innovation","12.2: Initiate and direct research and innovation programmes to completion, evaluate outcomes and amend service provision as appropriate",Standard 12: Promote a culture of innovation,"Domain 4: Research, Development and Innovation"
12.3,Identify opportunities to innovate and create a culture where innovation flourishes,Standard 12,Promote a culture of innovation,Domain 4,"Research, Development and Innovation",12.3: Identify opportunities to innovate and create a culture where innovation flourishes,Standard 12: Promote a culture of innovation,"Domain 4: Research, Development and Innovation"
13.1,Design and lead a strategy to achieve and/or maintain service accreditation,Standard 13,Assure research governance,Domain 4,"Research, Development and Innovation",13.1: Design and lead a strategy to achieve and/or maintain service accreditation,Standard 13: Assure research governance,"Domain 4: Research, Development and Innovation"
13.2,Ensure compliance with the NHS ethical and research governance framework,Standard 13,Assure research governance,Domain 4,"Research, Development and Innovation",13.2: Ensure compliance with the NHS ethical and research governance framework,Standard 13: Assure research governance,"Domain 4: Research, Development and Innovation"
14.1,"Lead strategic service improvement across a broad service, demonstrating an ability to successfully initiate, manage and sustain change aimed at improving patient outcomes",Standard 14,Ensure strategic leadership,Domain 5,Clinical Leadership,"14.1: Lead strategic service improvement across a broad service, demonstrating an ability to successfully initiate, manage and sustain change aimed at improving patient outcomes",Standard 14: Ensure strategic leadership,Domain 5: Clinical Leadership
14.2,Lead and motivate clinical scientific staff to ensure effective delivery and achievement of agreed service objectives in a changing healthcare environment,Standard 14,Ensure strategic leadership,Domain 5,Clinical Leadership,14.2: Lead and motivate clinical scientific staff to ensure effective delivery and achievement of agreed service objectives in a changing healthcare environment,Standard 14: Ensure strategic leadership,Domain 5: Clinical Leadership
15.1,"Ensure scientific services reflect the needs and preferences of patients, their families, carers as well as the public health requirements of the populations they serve",Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,"15.1: Ensure scientific services reflect the needs and preferences of patients, their families, carers as well as the public health requirements of the populations they serve",Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
15.2,"Direct the operation of a broad service to ensure compliance with local, national and internationally accepted standards and guidelines",Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,"15.2: Direct the operation of a broad service to ensure compliance with local, national and internationally accepted standards and guidelines",Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
15.3,"Participate in appropriate local regional, national and international scientific groups",Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,"15.3: Participate in appropriate local regional, national and international scientific groups",Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
15.4,"Play a leading role in appropriate local, regional, national and international clinical scientific groups",Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,"15.4: Play a leading role in appropriate local, regional, national and international clinical scientific groups",Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
15.5,"Contribute to the activities of national professional bodies and the formulation of national/international guidelines on clinical, scientific, and safety issues relating to services",Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,"15.5: Contribute to the activities of national professional bodies and the formulation of national/international guidelines on clinical, scientific, and safety issues relating to services",Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
15.6,"Ensure that scientific services are delivered in accordance with recommendations for national screening programmes, diagnostic practice and health and safety guidance",Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,"15.6: Ensure that scientific services are delivered in accordance with recommendations for national screening programmes, diagnostic practice and health and safety guidance",Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
15.7,Ensure that engagement in the commissioning of scientific services is carried out with full compliance to good practice,Standard 15,Ensure clinical scientific leadership,Domain 5,Clinical Leadership,15.7: Ensure that engagement in the commissioning of scientific services is carried out with full compliance to good practice,Standard 15: Ensure clinical scientific leadership,Domain 5: Clinical Leadership
16.1,Ensure that staff and non-staff resources are assessed and deployed to obtain high quality services whilst offering best value for money,Standard 16,Resource management,Domain 5,Clinical Leadership,16.1: Ensure that staff and non-staff resources are assessed and deployed to obtain high quality services whilst offering best value for money,Standard 16: Resource management,Domain 5: Clinical Leadership
